nearest_places_id,post_id,place_id
103,26,ChIJMSlpOfGipBIRf5cyHKdpsHg
104,26,ChIJ4aTqxfaipBIRi9Kz759j6GI
105,27,ChIJzyCpuvOipBIR81q13eFJsyw
106,27,ChIJWxm_GPOipBIRYYt8fBKUWRI
107,27,ChIJMSlpOfGipBIRf5cyHKdpsHg
108,27,ChIJ4aTqxfaipBIRi9Kz759j6GI
109,28,ChIJzyCpuvOipBIR81q13eFJsyw
110,28,ChIJWxm_GPOipBIRYYt8fBKUWRI
111,28,ChIJMSlpOfGipBIRf5cyHKdpsHg
112,28,ChIJ4aTqxfaipBIRi9Kz759j6GI
113,29,ChIJdWd8mMSjpBIRlU7wI7x356s
114,29,ChIJD68YoJWipBIRWzQhzWcsALI
115,29,ChIJ1eGKmZOipBIRah43T2Kjn8Q
116,29,ChIJbf9sA-yipBIRBsaWQtiGMLs
117,30,ChIJzyCpuvOipBIR81q13eFJsyw
118,30,ChIJWxm_GPOipBIRYYt8fBKUWRI
119,30,ChIJMSlpOfGipBIRf5cyHKdpsHg
120,30,ChIJ4aTqxfaipBIRi9Kz759j6GI
121,31,ChIJ12d3ZlmYpBIRStDXELkkdJE
122,31,ChIJNbGKpPyipBIRWOE2AiC82hc
123,31,ChIJC6CEtf2ipBIRkFQaF95uL1Q
124,31,ChIJeYwrA_uipBIRtLLknGLSRQA
125,32,ChIJD68YoJWipBIRWzQhzWcsALI
126,32,ChIJ1eGKmZOipBIRah43T2Kjn8Q
127,32,ChIJdWd8mMSjpBIRlU7wI7x356s
128,32,ChIJbf9sA-yipBIRBsaWQtiGMLs
129,33,ChIJzyCpuvOipBIR81q13eFJsyw
130,33,ChIJWxm_GPOipBIRYYt8fBKUWRI
131,33,ChIJMSlpOfGipBIRf5cyHKdpsHg
132,33,ChIJ4aTqxfaipBIRi9Kz759j6GI
133,34,ChIJWXpb8PeipBIR9qHIBx1PV4U
134,34,ChIJb7gUzfmipBIRIoiMb8GScM0
135,34,ChIJOyoByVCipBIR-mZapSxPHY8
136,34,ChIJc0WMe_GipBIRJiU_pUq_bRc
137,35,ChIJ12d3ZlmYpBIRStDXELkkdJE
138,35,ChIJNbGKpPyipBIRWOE2AiC82hc
139,35,ChIJC6CEtf2ipBIRkFQaF95uL1Q
140,35,ChIJeYwrA_uipBIRtLLknGLSRQA
